year,France,Italy,Portugal,Spain,Germany,Australia,New Zealand,United States,Argentina,Chile,Algeria,South Africa
1835,2669460,0,0,0,0,0,0,0,0,0,0,8997
1836,3139583,0,0,0,0,0,0,0,0,0,0,9715
1837,3834476,0,0,0,0,0,0,0,0,0,0,10536
1838,2547320,0,308900,0,0,0,0,0,0,0,0,10427
1839,2676487,0,295700,0,0,0,0,472,0,0,0,10999
1840,2792689,0,386800,0,0,0,0,0,0,0,0,9212
1841,3394148,0,295700,0,0,0,0,0,0,0,0,12404
1842,3460890,0,318200,0,204035,,0,0,0,0,0,10650
1843,1923134,0,333400,0,0,131,0,0,0,0,0,7814
1844,2948162,0,318200,0,0,137,0,0,0,0,0,9552
1845,3035598,0,395500,0,0,228,0,0,0,0,0,9985
1846,3270486,0,453100,0,288000,274,0,0,0,0,0,11365
1847,5472236,0,,0,294000,336,0,0,0,0,0,11365
1848,5200932,0,422000,0,298000,347,0,0,0,0,0,6285
1849,3582267,0,256800,0,218000,556,0,825,0,0,0,12159
1850,4560550,0,326700,0,169000,582,0,0,0,0,0,12159
1851,3972495,0,439500,0,107000,689,0,0,0,0,0,12159
1852,2885077,0,399900,0,165000,565,0,0,0,0,0,10297
1853,2283168,0,269400,0,163000,578,0,0,0,0,0,14453
1854,1090518,0,216700,0,42000,483,0,0,0,0,2549,14077
1855,1528881,0,149600,0,105000,486,0,0,0,0,1501,14413
1856,2145371,0,65600,0,102000,894,0,0,0,0,0,14413
1857,3567558,0,42300,0,196000,941,0,0,0,0,0,14413
1858,5432339,0,208800,0,359000,1159,0,0,0,0,3857,14413
1859,3011518,0,88400,0,319000,1119,0,6124,0,0,4949,14413
1860,3985514,1730000,79300,1224801,172000,1341,0,6770,3624,25126,7825,14396
1861,3000662,1730000,111100,1278712,109000,1927,4,7416,3729,25126,3668,14510
1862,3738796,1738537,115800,1332623,253000,2762,7,8062,3837,27745,4323,14520
1863,5175717,1738873,172600,1386534,248000,3833,11,8708,3948,21329,7046,14580
1864,5103332,1708741,149900,1440445,110000,4803,14,9354,4062,27684,6383,14287
1865,6946000,1829807,215100,1494356,165000,5052,18,10000,4180,22165,7819,14709
1866,6431679,2173405,215700,1548267,300000,5387,21,10000,4301,21742,9911,14709
1867,3942146,2145163,150000,1602178,296000,6323,25,10000,4425,28618,7641,14709
1868,5248874,2124539,179700,1656089,444000,7080,28,10000,4554,23809,11461,16410
1869,7052500,2284411,187700,1710000,209000,7998,32,16067,4685,22897,12688,14510
1870,5494401,2415184,279300,1710000,104392,8366,35,17307,4830,20582,12709,14510
1871,5864876,2525964,211500,1763911,84899,8292,39,18547,4980,26186,18473,14510
1872,5169555,2613722,167800,1817822,37561,8215,42,25708,5134,32407,22784,14709
1873,3681305,2163664,269200,1871733,89082,7992,46,32173,5300,32144,17068,10165
1874,6532394,1986974,209461,1925644,179578,8459,49,38955,6128,24685,22900,10165
1875,8652437,2364061,219756,1979555,244040,9400,53,46366,7085,29660,19631,20545
1876,4318788,2508064,227045,2034453,220373,10875,56,53304,8192,26645,22244,22271
1877,5799757,2244002,218651,1998480,129083,7698,60,60166,9471,24953,26517,23998
1878,5020856,2264448,217243,1962704,193740,7676,63,62241,10951,24707,33822,25724
1879,2627525,2471320,225068,2448138,67757,7542,67,69023,12661,21822,35153,21941
1880,3010805,2484313,245265,2340220,31200,9516,70,81854,14639,19909,43258,26100
1881,3547228,2671863,224277,2156360,159248,7603,74,65253,16925,23221,28870,30264
1882,3188687,2632449,281243,2046444,83113,8819,77,66616,19569,28806,68134,27179
1883,3731465,2986122,252618,2358403,179475,6996,81,55481,22626,39443,82160,29100
